"","descriptors"
"620","Gray-and-gold"
"621","Gray-and-white"
"622","Gray-backed"
"623","Gray-barred"
"624","Gray-bellied"
"625","Gray-breasted"
"626","Gray-browed"
"627","Gray-capped"
"628","Gray-cheeked"
"629","Gray-chested"
"630","Gray-chinned"
"631","Gray-collared"
"632","Gray-cowled"
"633","Gray-crowned"
"634","Gray-faced"
"635","Gray-flanked"
"636","Gray-fronted"
"637","Gray-headed"
"638","Gray-hooded"
"639","Gray-lined"
"640","Gray-mantled"
"641","Gray-necked"
"642","Gray-rumped"
"643","Gray-streaked"
"644","Gray-tailed"
"645","Gray-throated"
"646","Grayish"
"647","Graylag"
"648","Great"
"649","Great-billed"
"650","Great-tailed"
"651","Greater"
"652","Green"
"653","Green-and-black"
"654","Green-and-gold"
"655","Green-and-white"
"656","Green-backed"
"657","Green-barred"
"658","Green-bearded"
"659","Green-bellied"
"660","Green-billed"
"661","Green-breasted"
"662","Green-cheeked"
"663","Green-crowned"
"664","Green-headed"
"665","Green-rumped"
"666","Green-striped"
"667","Green-tailed"
"668","Green-throated"
"669","Green-winged"
"670","Greenish"
"671","Groove-billed"
"672","Grosbeak"
"673","Ground"
"674","Guanay"
"675","Guatemalan"
"676","Guayaquil"
"677","Guianan"
"678","Guira"
"679","Gull-billed"
"680","Guttulate"
"681","Hadada"
"682","Hainan"
"683","Hair-crested"
"684","Hairy"
"685","Half-collared"
"686","Hammond's"
"687","Hanging"
"688","Hangnest"
"689","Happy"
"690","Harlequin"
"691","Harrier"
"692","Harris's"
"693","Hartert's"
"694","Hartlaub's"
"695","Hasselt's"
"696","Hauxwell's"
"697","Hawaiian"
"698","Hawk"
"699","Hazel"
"700","Heart-spotted"
"701","Heermann's"
"702","Helmeted"
"703","Hen"
"704","Henslow's"
"705","Hepatic"
"706","Hermit"
"707","Herring"
"708","Heuglin's"
"709","Highland"
"710","Hildebrandt's"
"711","Hill"
"712","Himalayan"
"713","Hispaniolan"
"714","Hoary"
"715","Hoary-headed"
"716","Hodgson's"
"717","Hoffmann's"
"718","Holland"
"719","Holub's"
"720","Honey"
"721","Hooded"
"722","Hook-billed"
"723","Horned"
"724","Horsfield's"
"725","House"
"726","Hudsonian"
"727","Huet"
"728","Humboldt"
"729","Hume's"
"730","Hunter's"
"731","Hutton's"
"732","Iberian"
"733","Iceland"
"734","Icterine"
"735","Imperial"
"736","Inca"
"737","Indian"
"738","Indigo"
"739","Indigo-banded"
"740","Indigo-capped"
"741","Indochinese"
"742","Inland"
"743","Intermediate"
"744","Isabelline"
"745","Island"
"746","Islands"
"747","Isthmian"
"748","Italian"
"749","Ivory-billed"
"750","Jack"
"751","Jackal"
"752","Jamaican"
"753","Jambu"
"754","Jameson's"
"755","Japanese"
"756","Java"
"757","Javan"
"758","Jerdon's"
"759","Jet"
"760","Jungle"
"761","Junin"
"762","Juniper"
"763","Karoo"
"764","Keel-billed"
"765","Kelp"
"766","Kentish"
"767","Kentucky"
"768","Kenya"
"769","Kikuyu"
"770","King"
"771","Kittlitz's"
"772","Klaas's"
"773","Klages's"
"774","Knob-billed"
"775","Knysna"
"776","Krüper's"
"777","Kurdish"
"778","Kurrichane"
"779","La"
"780","Laced"
"781","Ladder-backed"
"782","Lake"
"783","Lance-tailed"
"784","Lanceolated"
"785","Lapland"
"786","Large"
"787","Large-billed"
"788","Large-tailed"
"789","Lark"
"790","Lark-like"
"791","Latham's"
"792","Laughing"
"793","Lawrence's"
"794","Laysan"
"795","Lazuli"
"796","Leaden"
"797","Leaf"
"798","Least"
"799","LeConte's"
"800","Lemon-bellied"
"801","Lemon-browed"
"802","Lemon-throated"
"803","Lesser"
"804","Lesson's"
"805","Lettered"
"806","Levaillant's"
"807","Levant"
"808","Lewin's"
"809","Lewis's"
"810","Light-vented"
"811","Lilac-breasted"
"812","Lilac-crowned"
"813","Lilac-tailed"
"814","Lincoln's"
"815","Lineated"
"816","Lined"
"817","Little"
"818","Lizard"
"819","Loggerhead"
