"","Family_Sci","Family_English"
"190","Passeridae","(Old World Sparrows)"
"191","Motacillidae","(Wagtails and Pipits)"
"192","Fringillidae","(Finches, Euphonias, and Allies)"
"193","Calcariidae","(Longspurs and Snow Buntings)"
"194","Rhodinocichlidae","(Thrush-Tanager)"
"195","Emberizidae","(Old World Buntings)"
"196","Passerellidae","(New World Sparrows)"
"197","Phaenicophilidae","(Hispaniolan Tanagers)"
"198","Spindalidae","(Spindalises)"
"199","Teretistridae","(Cuban Warblers)"
"200","Icteriidae","(Yellow-breasted Chat)"
"201","Icteridae","(Troupials and Allies)"
"202","Parulidae","(New World Warblers)"
"203","Mitrospingidae","(Mitrospingid Tanagers)"
"204","Cardinalidae","(Cardinals and Allies)"
"205","Thraupidae","(Tanagers and Allies)"
