,Species_Jetz,Species_eBird,Species_BirdLife,Family_eBird,CommonName_eBird,aveUAI,SciName_MUTI,MUTIscore,SciName_UN,Urban,Family_Sci,Family_English,Coastal,Notes_Family,Notes_Species
112,Actenoides lindsayi,Actenoides lindsayi,Actenoides lindsayi,Alcedinidae (Kingfishers),Spotted Kingfisher,0.87544104,NA,NA,NA,NA,Alcedinidae,(Kingfishers),Yes,,NA
118,Burhinus capensis,Burhinus capensis,Burhinus capensis,Burhinidae (Thick-knees),Spotted Thick-knee,2.351602704,NA,NA,NA,NA,Burhinidae,(Thick-knees),Yes,,NA
14,Lophoictinia isura,Lophoictinia isura,Lophoictinia isura,"Accipitridae (Hawks, Eagles, and Kites)",Square-tailed Kite,0.906312185,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
191,Cinclodes taczanowskii,Cinclodes taczanowskii,Cinclodes taczanowskii,Furnariidae (Ovenbirds and Woodcreepers),Surf Cinclodes,1.912920579,NA,NA,NA,NA,Furnariidae,(Ovenbirds and Woodcreepers),Yes,,intertidal zone
250,Aphriza virgata,Calidris virgata,Calidris virgata,Scolopacidae (Sandpipers and Allies),Surfbird,2.150009707,NA,NA,NA,NA,Scolopacidae,(Sandpipers and Allies),Yes,,NA
96,Buteo swainsoni,Buteo swainsoni,Buteo swainsoni,"Accipitridae (Hawks, Eagles, and Kites)",Swainson's Hawk,1.505416308,Buteo swainsoni,0.122082355,Buteo swainsoni,U,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
13,Elanoides forficatus,Elanoides forficatus,Elanoides forficatus,"Accipitridae (Hawks, Eagles, and Kites)",Swallow-tailed Kite,0.815307594,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
228,Melospiza georgiana,Melospiza georgiana,Melospiza georgiana,Passerellidae (New World Sparrows),Swamp Sparrow,1.654350163,Melospiza georgiana,0.741691746,Melospiza georgiana,N,Passerellidae,(New World Sparrows),Yes,mention of marsh but not saltwater or coastal ,coastal marshes
242,Gallinula mortierii,Tribonyx mortierii,Tribonyx mortierii,"Rallidae (Rails, Gallinules, and Coots)",Tasmanian Nativehen,0.661412864,NA,NA,Gallinula mortierii,N,Rallidae,"(Rails, Gallinules, and Coots)",Yes,coastal marshes or water ,NA
3,Sericornis humilis,Sericornis humilis,Sericornis humilis,Acanthizidae (Thornbills and Allies),Tasmanian Scrubwren,0.159048669,NA,NA,NA,NA,Acanthizidae,(Thornbills and Allies),Yes,,coastal shrubland
125,Calcarius mccownii,Rhynchophanes mccownii,Rhynchophanes mccownii,Calcariidae (Longspurs and Snow Buntings),Thick-billed Longspur,0.02923248,Rhynchophanes mccownii,-1.827146694,NA,NA,Calcariidae,(Longspurs and Snow Buntings),Yes,beaches / concentrate near coastlines,NA
236,Polioptila plumbea,Polioptila plumbea,Polioptila plumbea,Polioptilidae (Gnatcatchers),Tropical Gnatcatcher,1.828018724,NA,NA,NA,NA,Polioptilidae,(Gnatcatchers),Yes,,mangroves
272,Tyrannus melancholicus,Tyrannus melancholicus,Tyrannus melancholicus,Tyrannidae (Tyrant Flycatchers),Tropical Kingbird,2.188615734,NA,NA,NA,NA,Tyrannidae,(Tyrant Flycatchers),Yes,,mangroves and coastal promontories 
213,Mimus gilvus,Mimus gilvus,Mimus gilvus,Mimidae (Mockingbirds and Thrashers),Tropical Mockingbird,2.25722045,NA,NA,NA,NA,Mimidae,(Mockingbirds and Thrashers),Yes,,coastal scrubland
223,Parula pitiayumi,Setophaga pitiayumi,Setophaga pitiayumi,Parulidae (New World Warblers),Tropical Parula,1.552154785,NA,NA,NA,NA,Parulidae,(New World Warblers),Yes,,mangroves
131,Cathartes aura,Cathartes aura,Cathartes aura,Cathartidae (New World Vultures),Turkey Vulture,1.405658159,Cathartes aura,0.911774813,NA,NA,Cathartidae,(New World Vultures),Yes,,NA
85,Buteo polyosoma,Geranoaetus polyosoma,Geranoaetus polyosoma,"Accipitridae (Hawks, Eagles, and Kites)",Variable Hawk,0.650181444,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
192,Haematopus unicolor,Haematopus unicolor,Haematopus unicolor,Haematopodidae (Oystercatchers),Variable Oystercatcher,0.495328388,NA,NA,NA,NA,Haematopodidae,(Oystercatchers),Yes,,NA
41,Aquila verreauxii,Aquila verreauxii,Aquila verreauxii,"Accipitridae (Hawks, Eagles, and Kites)",Verreaux's Eagle,1.211401318,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
34,Aquila wahlbergi,Hieraaetus wahlbergi,Hieraaetus wahlbergi,"Accipitridae (Hawks, Eagles, and Kites)",Wahlberg's Eagle,0.738571399,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
214,Anthus spinoletta,Anthus spinoletta,Anthus spinoletta,Motacillidae (Wagtails and Pipits),Water Pipit,1.503777286,NA,NA,NA,NA,Motacillidae,(Wagtails and Pipits),Yes,,coastal saltings
263,Bostrychia carunculata,Bostrychia carunculata,Bostrychia carunculata,Threskiornithidae (Ibises and Spoonbills),Wattled Ibis,2.148083596,NA,NA,NA,NA,Threskiornithidae,(Ibises and Spoonbills),Yes,some in coastal lagoons,NA
141,Vanellus senegallus,Vanellus senegallus,Vanellus senegallus,Charadriidae (Plovers and Lapwings),Wattled Lapwing,2.477567283,NA,NA,NA,NA,Charadriidae,(Plovers and Lapwings),Yes,,NA
40,Aquila audax,Aquila audax,Aquila audax,"Accipitridae (Hawks, Eagles, and Kites)",Wedge-tailed Eagle,0.542604742,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
255,Sylvia cantillans,Curruca iberiae,Sylvia cantillans,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Western Subalpine Warbler,1.843924722,NA,NA,Sylvia cantillans,N,Sylviidae,"(Sylviid Warblers, Parrotbills, and Allies)",Yes,,coastal mangroves
20,Gyps africanus,Gyps africanus,Gyps africanus,"Accipitridae (Hawks, Eagles, and Kites)",White-backed Vulture,1.140660353,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
2,Sericornis frontalis,Sericornis frontalis,Sericornis frontalis,Acanthizidae (Thornbills and Allies),White-browed Scrubwren,1.09491967,NA,NA,Sericornis frontalis,U,Acanthizidae,(Thornbills and Allies),Yes,,coastal heathlands and dunes 
48,Butastur teesa,Butastur teesa,Butastur teesa,"Accipitridae (Hawks, Eagles, and Kites)",White-eyed Buzzard,1.231746797,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
84,Buteo albicaudatus,Geranoaetus albicaudatus,Geranoaetus albicaudatus,"Accipitridae (Hawks, Eagles, and Kites)",White-tailed Hawk,1.34629837,NA,NA,Buteo albicaudatus,N,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
9,Elanus leucurus,Elanus leucurus,Elanus leucurus,"Accipitridae (Hawks, Eagles, and Kites)",White-tailed Kite,1.991073589,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
95,Buteo albigula,Buteo albigula,Buteo albigula,"Accipitridae (Hawks, Eagles, and Kites)",White-throated Hawk,0.260708445,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
221,Helmitheros vermivorum,Helmitheros vermivorum,Helmitheros vermivorum,Parulidae (New World Warblers),Worm-eating Warbler,1.443227625,Helmitheros vermivorum,-1.23784475,NA,NA,Parulidae,(New World Warblers),Yes,,coastal plains 
189,Phleocryptes melanops,Phleocryptes melanops,Phleocryptes melanops,Furnariidae (Ovenbirds and Woodcreepers),Wren-like Rushbird,1.388643238,NA,NA,NA,NA,Furnariidae,(Ovenbirds and Woodcreepers),Yes,,brackish marshes
207,Icteria virens,Icteria virens,Icteria virens,Icteriidae (Yellow-breasted Chat),Yellow-breasted Chat,1.430770176,Icteria virens,-0.212798287,NA,NA,Icteriidae,(Yellow-breasted Chat),Yes,mangroves,NA
257,Teretistris fernandinae,Teretistris fernandinae,Teretistris fernandinae,Teretistridae (Cuban Warblers),Yellow-headed Warbler,0.826383484,NA,NA,NA,NA,Teretistridae,(Cuban Warblers),Yes,ranges from coast to inland forests,NA
5,Sericornis citreogularis,Sericornis citreogularis,Sericornis citreogularis,Acanthizidae (Thornbills and Allies),Yellow-throated Scrubwren,NA,NA,NA,Sericornis citreogularis,N,Acanthizidae,(Thornbills and Allies),Yes,,coastal habitats 
139,Vanellus malarbaricus,Vanellus malabaricus,Vanellus malabaricus,Charadriidae (Plovers and Lapwings),Yellow-wattled Lapwing,1.321896395,NA,NA,NA,NA,Charadriidae,(Plovers and Lapwings),Yes,,NA
97,Buteo albonotatus,Buteo albonotatus,Buteo albonotatus,"Accipitridae (Hawks, Eagles, and Kites)",Zone-tailed Hawk,1.48336823,Buteo albonotatus,-1.676962755,Buteo albonotatus,N,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
