,Species_Jetz,Species_eBird,Species_BirdLife,Family_eBird,CommonName_eBird,aveUAI,SciName_MUTI,MUTIscore,SciName_UN,Urban,Family_Sci,Family_English,Coastal,Notes_Family,Notes_Species
134,Pluvialis squatarola,Pluvialis squatarola,Pluvialis squatarola,Charadriidae (Plovers and Lapwings),Black-bellied Plover,1.495897414,NA,NA,NA,NA,Charadriidae,(Plovers and Lapwings),Yes,,NA
86,Geranoaetus melanoleucus,Geranoaetus melanoleucus,Geranoaetus melanoleucus,"Accipitridae (Hawks, Eagles, and Kites)",Black-chested Buzzard-Eagle,0.628033581,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
232,Phaenicophilus palmarum,Phaenicophilus palmarum,Phaenicophilus palmarum,Phaenicophilidae (Hispaniolan Tanagers),Black-crowned Palm-Tanager,2.758946986,NA,NA,NA,NA,Phaenicophilidae,(Hispaniolan Tanagers),Yes,NA,mangroves
260,Theristicus melanopis,Theristicus melanopis,Theristicus melanopis,Threskiornithidae (Ibises and Spoonbills),Black-faced Ibis,1.451797695,NA,NA,NA,NA,Threskiornithidae,(Ibises and Spoonbills),Yes,some in coastal lagoons,NA
8,Elanus axillaris,Elanus axillaris,Elanus axillaris,"Accipitridae (Hawks, Eagles, and Kites)",Black-shouldered Kite,1.365394618,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
7,Elanus caeruleus,Elanus caeruleus,Elanus caeruleus,"Accipitridae (Hawks, Eagles, and Kites)",Black-winged Kite,1.367172806,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
195,Haematopus ater,Haematopus ater,Haematopus ater,Haematopodidae (Oystercatchers),Blackish Oystercatcher,1.36573677,NA,NA,NA,NA,Haematopodidae,(Oystercatchers),Yes,,NA
218,Monticola solitarius,Monticola solitarius,Monticola solitarius,Muscicapidae (Old World Flycatchers),Blue Rock-Thrush,1.710890256,NA,NA,NA,NA,Muscicapidae,(Old World Flycatchers),Yes,,rocky coasts
26,Nisaetus alboniger,Nisaetus alboniger,Nisaetus alboniger,"Accipitridae (Hawks, Eagles, and Kites)",Blyth's Hawk-Eagle,0.071112097,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
42,Aquila fasciatus,Aquila fasciata,Aquila fasciata,"Accipitridae (Hawks, Eagles, and Kites)",Bonelli's Eagle,1.12587868,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
35,Hieraaetus pennatus,Hieraaetus pennatus,Hieraaetus pennatus,"Accipitridae (Hawks, Eagles, and Kites)",Booted Eagle,1.578710078,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
