Species,CommonNameBL,sumDiffPC1,sumDiffPC2,FemalePC1sum,MalePC1sum,FemalePC2sum,MalePC2sum,Species
Aythya_collaris,Ring-necked Duck,-12.085823,-0.797355,9.2977,-2.7881,1.700437482,0.903082635,Aythya_collaris
Aythya_marila,Greater Scaup,18.722406,0.444196,-1.2744,17.448,-1.330121647,-0.885925788,Aythya_marila
Aythya_valisineria,Canvasback,6.986065,-0.296078,8.0103,14.9964,-1.072583422,-1.368661459,Aythya_valisineria
Baeolophus_bicolor,Tufted Titmouse,-2.25395,1.363665,5.6341,3.3802,1.518939033,2.882604121,Baeolophus_bicolor
Baeolophus_inornatus,Oak Titmouse,-1.290207,0.033641,0.1661,-1.1241,0.439685759,0.473326952,Baeolophus_inornatus
Baeolophus_wollweberi,Bridled Titmouse,-0.220979,0.784029,-8.8222,-9.0431,0.922341987,1.706370532,Baeolophus_wollweberi
Baryphthengus_martii,Rufous Motmot,-0.166219,-0.414425,-12.2749,-12.4411,-3.404177051,-3.818601931,Baryphthengus_martii
Basileuterus_belli,Golden-browed Warbler,6.08489,-1.917523,-6.4807,-0.3958,-3.401179042,-5.318702228,Basileuterus_belli
Basileuterus_bivittatus,Two-banded Warbler,4.304861,-1.125264,-1.2034,3.1015,-6.093574909,-7.218838615,Basileuterus_bivittatus
Basileuterus_coronatus,Russet-crowned Warbler,5.908706,-1.468449,-2.0984,3.8103,-5.481269992,-6.949718883,Basileuterus_coronatus
Basileuterus_melanogenys,Black-cheeked Warbler,1.970664,1.151305,0.7344,2.705,-0.66255689,0.488748053,Basileuterus_melanogenys
Basileuterus_rufifrons,Rufous-capped Warbler,-4.693362,0.557025,6.2644,1.5711,-4.845205507,-4.288180586,Basileuterus_rufifrons
Batis_mixta,Short-tailed Batis,3.026474,4.838828,-12.0496,-9.0231,0.84650676,5.685334794,Batis_mixta
Batis_molitor,Chinspot Batis,13.56678,4.183476,-13.551,0.0157,0.861710977,5.045186627,Batis_molitor
Bernieria_cinereiceps,Grey-crowned Tetraka,2.352551,0.214008,-4.1779,-1.8253,-0.645597959,-0.431589683,Bernieria_cinereiceps
Biziura_lobata,Musk Duck,-1.249081,0.620744,-4.5749,-5.824,3.404113149,4.024856996,Biziura_lobata
Bombycilla_cedrorum,Cedar Waxwing,-0.541864,0.192696,-10.9872,-11.529,-2.072370243,-1.879674709,Bombycilla_cedrorum
Bonasa_umbellus,Ruffed Grouse,-4.644502,-0.594536,5.5565,0.912,-1.549900804,-2.144437235,Bonasa_umbellus
Branta_bernicla,Brent Goose,-4.677134,0.438464,-1.9451,-6.6222,0.629184871,1.067648531,Branta_bernicla
Branta_canadensis,Canada Goose,-1.157162,-0.324191,-4.9205,-6.0776,0.229646852,-0.094544235,Branta_canadensis
Branta_leucopsis,Barnacle Goose,-1.858968,0.102791,10.1214,8.2624,-0.555257369,-0.45246634,Branta_leucopsis
Brotogeris_cyanoptera,Cobalt-winged Parakeet,-1.050339,-0.023528,-2.1032,-3.1535,-2.692366658,-2.715894199,Brotogeris_cyanoptera
Bubo_virginianus,Great Horned Owl,-5.119069,1.081118,5.4088,0.2897,-0.320600013,0.760518258,Bubo_virginianus
Bubulcus_ibis,Cattle Egret,-2.373191,1.741824,74.1059,71.7328,-2.290631932,-0.548807869,Bubulcus_ibis
Bucephala_albeola,Bufflehead,7.980708,0.865599,2.487,10.4678,0.797923376,1.663522445,Bucephala_albeola
