Species,Urban,Domi,Mini,Body,Veget
Dendroica nigrescens,N,4.82,3.55,8.7,3
Dendroica occidentalis,N,5.08,3.55,10.4,4
Dendroica palmarum,N,4.95,3.4,10.3,3
Dendroica pensylvanica,N,4.92,3.27,9.5,2.5
Dendroica petechia,U,6.12,3.63,11,3
Dendroica pinus,N,3.96,2.98,11.8,4
Dendroica striata,N,8.29,7.44,12.3,4
Dendroica tigrina,N,7.42,6.87,10.3,3.5
Geopelia striata,U,1.03,0.25,56.6,3
Grus americana,N,0.9,0.6,5826,2
Grus antigone,N,0.94,0.43,6667,2.5
Grus canadensis,U,0.84,0.41,4654,2
Grus grus,N,1.63,0.62,5500,2
Grus rubicunda,N,0.94,0.17,6838,2
Hippolais caligata,U,3.87,1.72,8.9,2.5
Hippolais icterina,U,4.65,2.24,13.2,3
Hippolais languida,U,2.93,1.46,12,2
Hippolais olivetorum,N,2.75,1.11,17.5,2.5
Hippolais pallida,U,2.93,1.42,9,2
Hippolais polyglotta,N,3.78,1.51,11,3
Icterus bullockii,N,2.66,1.76,37.9,3
Icterus cucullatus,U,2.96,2.13,24.3,3
Icterus galbula,U,2.47,1.68,33.9,3
Icterus parisorum,N,2.5,1.78,36.5,3
Icterus spurius,U,3.46,1.8,19.9,3
Ixobrychus exilis,N,0.73,0.13,86.3,2
Ixobrychus minutus,U,0.6,0.25,118,2
Lanius collurio,U,3.35,1.42,27.9,2.5
Lanius ludovicianus,U,3.23,2.18,51.8,2
Lanius meridionalis,N,3.53,1.83,61,2
Lanius minor,U,2.84,1.93,45.7,2
Lanius nubicus,U,3.18,1.11,19.7,3
Lanius senator,U,2.95,1.46,34.6,3
Larus argentatus,U,1.4,0.73,1173,1.5
Larus armenicus,N,1.2,0.51,867,1
Larus atricilla,N,1.68,0.43,327,2
Larus audouinii,N,1.55,0.77,535,1
Larus cachinnans,N,3.01,0.86,1220,1
Larus californicus,U,1.72,0.34,749,1
Larus canus,N,2.41,0.82,421,1.5
Larus delawarensis,U,1.63,0.43,566,1
Larus dominicanus,U,1.37,0.77,1050,1.5
Larus fuscus,U,3.1,0.68,824,1.5
Larus heermanni,N,0.51,0.17,500,1
Larus marinus,U,1.89,0.17,1829,1.5
Larus melanocephalus,N,1.72,0.51,256,1
Larus minutus,N,1.89,0.51,118,2
Larus occidentalis,N,1.37,0.08,1034,1
Larus philadelphia,N,2.06,0.08,222,2.5
Larus pipixcan,N,1.89,0.25,280,2
Larus ridibundus,N,1.8,0.51,284,2
Lichenostomus chrysops,U,2.87,1.53,17.3,3
Lichenostomus flavicollis,U,1.27,0.58,32.6,4
Lichenostomus flavus,U,3.32,1.4,21.4,3
Numenius tahitiensis,N,1.72,1.29,374,1.5
Oenanthe albonigra,N,4.25,1.89,25.2,1
Oenanthe cypriaca,U,5.21,4.34,17.5,3
Oenanthe deserti,N,2.52,2.12,19.6,1
Oenanthe finschii,N,4.13,2.2,25.6,1
Oenanthe hispanica,N,3.1,1.86,16.4,1.5
Oenanthe isabellina,U,3.18,1.76,29.4,1
Oenanthe leucopyga,U,2.73,1.7,27.9,1
Oenanthe leucura,N,3.27,1.85,41,1
Oenanthe moesta,N,3.12,1.72,30.2,1.5
Oenanthe monacha,N,4.39,3.18,23,1
Oenanthe oenanthe,N,3.79,1.89,24,2
Oenanthe pleschanka,N,3.64,1.7,18.2,1.5
Oenanthe xanthoprymna,N,4,2.58,22.7,1
Otus brucei,U,0.51,0.25,107,2
Otus flammeolus,N,0.38,0.34,54.7,3
Otus scops,U,1.33,1.27,92,3
Pachycephala inornata,N,2.07,1.09,30.8,2.5
Pachycephala lanioides,N,2.55,1.36,36.6,4
Pachycephala melanura,N,2.69,1.43,23.8,4
Pachycephala rufiventris,U,3.08,1.7,22.6,2.5
Pachycephala rufogularis,N,1.85,1.12,36.6,2.5
Pachycephala simplex,N,2.79,1.74,17.4,3.5
Parus ater,U,4.19,3.35,9.2,4
Parus caeruleus,U,5.42,3.05,10.4,4
Parus cinctus,N,3.74,1.89,11.4,4
Parus cyanus,N,5.18,2.52,13.8,2.5
Parus lugubris,U,4.18,1.89,15.8,3
Parus major,U,4.03,3.16,18.9,3
Parus montanus,N,5.04,3.01,11.1,3
Parus palustris,U,4.89,3.28,11.2,4
Passer hispaniolensis,N,2.67,1.98,24.2,2
Passer moabiticus,N,3.72,1.61,17.5,2
Passer montanus,U,3.54,1.29,21.4,3
Passerina amoena,U,5.19,2.79,16,2
Passerina caerulea,N,3.37,2.19,27.8,2.5
Passerina ciris,N,4.23,3.06,16.1,2.5
Passerina cyanea,N,5.61,2.88,15,2.5
Passerina versicolor,N,4.1,2.7,13,2
Petronia petronia,N,4.26,2.54,30.2,1
Petronia xanthocollis,U,3.65,1.6,18.1,3
Phaps chalcoptera,U,0.25,0.08,344,2.5
Phaps elegans,N,0.34,0.08,219,3
Phoenicurus erythrogastrus,N,3.65,0.43,25.2,3
Phoenicurus moussieri,N,4.65,2.92,14.9,2
Phoenicurus ochruros,U,4.02,2.78,16.5,1
Rallus elegans,N,2.75,0.51,361,2
Rallus limicola,N,2.92,0.43,84.1,2
