scinam,genus_species,genus,species,peak_frequency,perc_forest_cover,n_ind,family,body_mass,body_mass_M,body_mass_F,SSD_bm,male_wing_avg,female_wing_avg,SSD,habitat_type
aimophila,Aimophila_notosticta,Aimophila,notosticta,5684.8,10.14285714,3,emberizidae,27.1,,,,,,,0
aimophila,Aimophila_quinquestriata,Aimophila,quinquestriata,6718.4,14.57142857,5,emberizidae,19.55,20.3,18.8,0.033338189,,,,1
aimophila,Aimophila_rufescens,Aimophila,rufescens,3962.1,37.33333333,5,emberizidae,34.3,,,,,,,2
aimophila,Aimophila_ruficauda,Aimophila,ruficauda,7407.4,15.625,5,emberizidae,28.2,,,,,,,0
aimophila,Aimophila_ruficeps,Aimophila,ruficeps,5512.5,20.625,5,emberizidae,18.7,19.3,18.1,0.027878734,62.9,59.9,0.021223823,0
aimophila,Aimophila_stolzmanni,Aimophila,stolzmanni,4306.6,46.875,5,emberizidae,25.65,27.6,23.7,0.066160736,,,,1
aimophila,Aimophila_sumichrasti,Aimophila,sumichrasti,6718.4,18.14285714,3,emberizidae,29.45,30.3,28.6,0.025076595,,,,1
alaemon,Alaemon_alaudipes,Alaemon,alaudipes,2411.7,0,5,alaudidae,36.5,,,,132.92,121.25,0.039908585,0
alauda,Alauda_arvensis,Alauda,arvensis,4306.6,23,5,alaudidae,37.475,39.85,35.1,0.055121209,113.38,104.6,0.035004768,0
alauda,Alauda_gulgula,Alauda,gulgula,4995.7,1.625,5,alaudidae,26.3,,,,99.03,91.92,0.032356763,0
alcippe,Alcippe_brunnea,Alcippe,brunnea,3445.3,87.7,5,timaliidae,18.7,,,,59,56,0.022663985,2
alcippe,Alcippe_brunneicauda,Alcippe,brunneicauda,3617.6,100,5,timaliidae,14.3,,,,,,,2
alcippe,Alcippe_castaneceps,Alcippe,castaneceps,5512.5,60.5,3,timaliidae,12.5,,,,58.5,53,0.042879996,2
alcippe,Alcippe_chrysotis,Alcippe,chrysotis,5598.65,83.5625,2,timaliidae,5.5,,,,53,52.5,0.004116566,2
alcippe,Alcippe_cinerea,Alcippe,cinerea,5512.5,100,4,timaliidae,11,,,,,,,2
alcippe,Alcippe_cinereiceps,Alcippe,cinereiceps,4306.6,88.71428571,3,timaliidae,10.1,,,,55.5,51,0.036722807,2
alcippe,Alcippe_danisi,Alcippe,danisi,4651.2,100,1,timaliidae,11,,,,,,,2
alcippe,Alcippe_dubia,Alcippe,dubia,3703.7,62.625,4,timaliidae,15.4,,,,,,,2
alcippe,Alcippe_formosana,Alcippe,formosana,5340.2,96.125,3,timaliidae,,,,,,,,2
alcippe,Alcippe_grotei,Alcippe,grotei,4565,75.11111111,2,timaliidae,,,,,,,,2
alcippe,Alcippe_klossi,Alcippe,klossi,4651.2,100,4,timaliidae,,,,,,,,2
alcippe,Alcippe_ludlowi,Alcippe,ludlowi,5684.8,60.5,3,timaliidae,,,,,61.5,58,0.025447122,2
alcippe,Alcippe_manipurensis,Alcippe,manipurensis,4306.6,100,1,timaliidae,10,,,,,,,2
alcippe,Alcippe_morrisonia,Alcippe,morrisonia,3273,87.7,5,timaliidae,14.8,,,,,,,2
alcippe,Alcippe_nipalensis,Alcippe,nipalensis,4995.7,80.125,1,timaliidae,15.8,,,,60,59.5,0.003634285,2
alcippe,Alcippe_peracensis,Alcippe,peracensis,4134.4,100,5,timaliidae,14.975,,,,,,,2
alcippe,Alcippe_poioicephala,Alcippe,poioicephala,2928.5,96.11111111,5,timaliidae,20.7,,,,70.5,68.67,0.01142207,2
alcippe,Alcippe_pyrrhoptera,Alcippe,pyrrhoptera,3273,100,5,timaliidae,,,,,,,,2
alcippe,Alcippe_ruficapilla,Alcippe,ruficapilla,3789.8,51.75,3,timaliidae,9,,,,,,,2
alcippe,Alcippe_rufogularis,Alcippe,rufogularis,3186.9,100,4,timaliidae,13.6,,,,57.5,56,0.011479818,2
alcippe,Alcippe_striaticollis,Alcippe,striaticollis,5168,53.66666667,3,timaliidae,,,,,61.5,59,0.018023104,2
alcippe,Alcippe_variegaticeps,Alcippe,variegaticeps,4823.4,88.71428571,1,timaliidae,,,,,,,,2
alcippe,Alcippe_vinipectus,Alcippe,vinipectus,4823.45,81.6875,4,timaliidae,12,,,,58.5,57.75,0.005603878,1
aleadryas,Aleadryas_rufinucha,Aleadryas,rufinucha,3100.8,58,5,pachycephalidae,40.5,,,,,,,2
alectrurus,Alectrurus_risora,Alectrurus,risora,3962.1,5.5,1,tyrannidae,21,,,,,,,0
