species_code,UrbanIndex1,UrbanIndex2,UrbanIndex3,UrbanIndex4,UrbanIndex5,UrbanIndex6,PC1_scores,mean_br_occur,scientific_name,order,family,genus,common_name,test_spp,br_rng_extent,breeding_start_dt,breeding_end_dt,year_round_start_dt,year_round_end_dt,run_name
evegro,-0.834997363,-0.71174674,5.603189864,0.020510963,0.011834816,0.608713979,-0.2750208,NA,Coccothraustes vespertinus,Passeriformes,Fringillidae,Coccothraustes,Evening Grosbeak,no,99,5/31/2018,7/13/2018,NA,NA,evegro-ERD2018-EBIRD_SCIENCE-20191105-05d53bdb
houfin,1.09401577,1.057855511,7.330926323,0.248171589,0.229587385,1.562390498,2.652770107,2.822719252,Haemorhous mexicanus,Passeriformes,Fringillidae,Haemorhous,House Finch,urban,82,NA,NA,1/4/2018,12/28/2018,houfin-ERD2018-EBIRD_SCIENCE-20191102-bb1bb128
purfin,-0.705113081,-0.566954255,5.224914453,0.051679102,0.045760654,0.808506314,0.141671946,0.61677604,Haemorhous purpureus,Passeriformes,Fringillidae,Haemorhous,Purple Finch,no,99,5/31/2018,8/17/2018,NA,NA,purfin-ERD2018-EBIRD_SCIENCE-20191029-5c5552bf
casfin,-1.62658599,-1.890164548,4.355167657,0.005485414,0.000493105,0.189323018,-1.521876927,NA,Haemorhous cassinii,Passeriformes,Fringillidae,Haemorhous,Cassin's Finch,no,100,5/31/2018,9/28/2018,NA,NA,casfin-ERD2018-EBIRD_SCIENCE-20191108-26dfcca8
redcro,-1.388248258,-1.726295244,5.320565134,0.018670982,0.010736161,0.334183483,-1.116363788,NA,Loxia curvirostra,Passeriformes,Fringillidae,Loxia,Red Crossbill,no,94,5/3/2018,8/3/2018,NA,NA,redcro-ERD2018-EBIRD_SCIENCE-20191109-e5c0d866
whwcro,-1.659677021,-1.705176482,3.656661236,0.005963116,0.006340376,0.484205724,-1.068071948,NA,Loxia leucoptera,Passeriformes,Fringillidae,Loxia,White-winged Crossbill,no,99,6/7/2018,8/3/2018,NA,NA,whwcro-ERD2018-EBIRD_SCIENCE-20191109-99c92069
pinsis,-1.517452995,-1.537816692,5.080847261,0.023681398,0.006825771,0.496858301,-0.945585905,NA,Spinus pinus,Passeriformes,Fringillidae,Spinus,Pine Siskin,no,96,6/7/2018,8/31/2018,NA,NA,pinsis-ERD2018-EBIRD_SCIENCE-20191103-dc9be80a
lesgol,1.213972552,1.099989651,8.105965607,0.101981241,0.300783111,1.242551412,2.220846486,2.121391954,Spinus psaltria,Passeriformes,Fringillidae,Spinus,Lesser Goldfinch,no,48,5/31/2018,9/7/2018,NA,NA,lesgol-ERD2018-EBIRD_SCIENCE-20191103-096a1fe4
lawgol,-0.762581149,-0.533608927,7.997336132,0.094997114,0.040620413,0.560452761,-0.301242075,0,Spinus lawrencei,Passeriformes,Fringillidae,Spinus,Lawrence's Goldfinch,no,96,5/31/2018,6/28/2018,NA,NA,lawgol-ERD2018-EBIRD_SCIENCE-20191112-c9f98eab
amegfi,0.735444414,0.450803226,6.618825629,0.122035686,0.382027196,1.159109413,1.742541926,NA,Spinus tristis,Passeriformes,Fringillidae,Spinus,American Goldfinch,no,99,5/31/2018,8/24/2018,NA,NA,amegfi-ERD2018-EBIRD_SCIENCE-20191101-042a3308
